sigma,gamma,alpha,beta,delta,tau,kappa,psi,V_star,K_star,rho,phi,RT,ET,D_low,corruption_share_low,marginal_return,converged,iterations,final_diff
2.0,1.5,0.33,0.96,0.1,0.2,0.2,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,8,0.7627982861030871
2.0,1.5,0.33,0.96,0.1,0.2,0.9,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,8,0.27119201504123014
2.0,1.5,0.33,0.96,0.1,0.2,1.6,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,8,0.5366727264104387
2.0,1.5,0.33,0.96,0.1,0.2,2.3,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,8,1.527223238554491
2.0,1.5,0.33,0.96,0.1,0.2,3.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,8,1.8994968078430663
